ClientTime,RequestTime,SortingTime,ClientsNumber,SleepDelta,ArraySize,RequestsNumber,VaryingParam
1008.20,661.90,529.80,20,100,20000,10,1
1178.54,665.89,567.72,20,100,20000,10,2
1739.02,877.08,675.59,20,100,20000,10,3
1851.74,920.55,741.91,20,100,20000,10,4
2428.56,1006.28,768.07,20,100,20000,10,5
2575.91,1163.13,1005.80,20,100,20000,10,6
3094.09,1405.84,1205.61,20,100,20000,10,7
3319.43,1344.58,1117.21,20,100,20000,10,8
3935.92,1761.88,1489.37,20,100,20000,10,9
3832.21,1651.56,1367.91,20,100,20000,10,10
3784.21,1624.84,1364.63,20,100,20000,10,11
4716.65,2143.63,1893.18,20,100,20000,10,12
4277.86,1879.24,1549.03,20,100,20000,10,13
5121.19,2092.72,1708.74,20,100,20000,10,14
6301.55,2728.37,2385.23,20,100,20000,10,15
7420.86,3045.01,2609.95,20,100,20000,10,16
7292.48,2718.31,2248.36,20,100,20000,10,17
5470.96,2363.50,1800.33,20,100,20000,10,18
5921.85,2520.31,1924.36,20,100,20000,10,19
7009.35,2920.25,2303.89,20,100,20000,10,20
