ClientTime,RequestTime,SortingTime,ClientsNumber,SleepDelta,ArraySize,RequestsNumber,VaryingParam
14.23,0.17,0.10,5,100,2000,10,100
11.57,0.10,0.10,5,100,2000,10,150
18.11,0.28,0.23,5,100,2000,10,200
24.00,0.21,0.21,5,100,2000,10,250
31.24,0.38,0.33,5,100,2000,10,300
26.60,0.38,0.29,5,100,2000,10,350
31.13,0.58,0.48,5,100,2000,10,400
42.28,0.69,0.62,5,100,2000,10,450
46.17,0.75,0.70,5,100,2000,10,500
45.34,0.72,0.65,5,100,2000,10,550
63.20,0.93,0.88,5,100,2000,10,600
63.10,1.16,1.00,5,100,2000,10,650
45.72,1.20,1.10,5,100,2000,10,700
47.02,1.26,1.23,5,100,2000,10,750
41.97,1.53,1.38,5,100,2000,10,800
56.21,1.86,1.79,5,100,2000,10,850
45.06,1.86,1.72,5,100,2000,10,900
49.97,2.00,1.79,5,100,2000,10,950
52.71,2.19,2.05,5,100,2000,10,1000
35.81,2.15,2.03,5,100,2000,10,1050
46.35,2.54,2.42,5,100,2000,10,1100
90.63,2.76,2.56,5,100,2000,10,1150
96.64,2.82,2.72,5,100,2000,10,1200
73.29,3.10,2.93,5,100,2000,10,1250
53.84,3.22,3.08,5,100,2000,10,1300
57.63,3.82,3.73,5,100,2000,10,1350
48.26,3.70,3.58,5,100,2000,10,1400
51.99,4.10,4.00,5,100,2000,10,1450
56.57,4.12,4.07,5,100,2000,10,1500
63.67,4.55,4.48,5,100,2000,10,1550
81.72,4.86,4.81,5,100,2000,10,1600
99.95,5.28,5.17,5,100,2000,10,1650
175.84,5.61,5.47,5,100,2000,10,1700
172.11,5.64,5.39,5,100,2000,10,1750
165.57,5.85,5.64,5,100,2000,10,1800
121.74,5.80,5.63,5,100,2000,10,1850
111.33,6.39,6.23,5,100,2000,10,1900
128.63,6.92,6.75,5,100,2000,10,1950
152.61,6.92,6.85,5,100,2000,10,2000
