ClientTime,RequestTime,SortingTime,ClientsNumber,SleepDelta,ArraySize,RequestsNumber,VaryingParam
2186.03,1010.34,749.83,5,101,20000,10,1
2239.41,1004.59,732.72,5,101,20000,10,11
2238.66,1024.73,711.61,5,101,20000,10,21
1951.23,901.05,708.63,5,101,20000,10,31
1969.10,987.27,713.86,5,101,20000,10,41
1939.53,951.57,714.81,5,101,20000,10,51
2280.78,1008.01,704.55,5,101,20000,10,61
2207.75,1016.58,711.59,5,101,20000,10,71
1725.38,884.61,680.39,5,101,20000,10,81
2048.66,974.90,713.82,5,101,20000,10,91
1699.12,846.79,690.40,5,101,20000,10,101
