ClientTime,RequestTime,SortingTime,ClientsNumber,SleepDelta,ArraySize,RequestsNumber,VaryingParam
16.39,0.13,0.06,20,100,2000,30,100
31.02,0.21,0.14,20,100,2000,30,200
46.35,0.30,0.24,20,100,2000,30,300
132.50,0.47,0.38,20,100,2000,30,400
143.61,0.63,0.53,20,100,2000,30,500
276.51,0.78,0.72,20,100,2000,30,600
181.29,1.01,0.92,20,100,2000,30,700
176.07,1.22,1.11,20,100,2000,30,800
217.58,1.55,1.45,20,100,2000,30,900
248.26,1.76,1.65,20,100,2000,30,1000
360.39,2.13,2.00,20,100,2000,30,1100
388.21,2.46,2.34,20,100,2000,30,1200
362.17,2.79,2.66,20,100,2000,30,1300
413.35,3.17,3.04,20,100,2000,30,1400
477.64,3.63,3.49,20,100,2000,30,1500
517.20,4.05,3.93,20,100,2000,30,1600
757.10,4.52,4.38,20,100,2000,30,1700
536.70,4.64,4.48,20,100,2000,30,1800
753.54,5.49,5.35,20,100,2000,30,1900
684.09,6.06,5.90,20,100,2000,30,2000
